locus_tag	ftype	length_bp	gene	EC_number	COG	product
KENBAJHJ_00751	CDS	996				putative TPR repeat protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00752	CDS	474				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00753	CDS	1929				putative sigma-54 dependent transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00754	CDS	954				putative permease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00755	CDS	1251				hypothetical protein
KENBAJHJ_00756	CDS	291				hypothetical protein
KENBAJHJ_00757	CDS	2583				leucine tRNA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00758	CDS	591				a minor lipoprotein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00759	CDS	1032				DNA polymerase III, delta subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00760	CDS	651				putative nicotinic acid mononucleotide adenylyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00761	CDS	1095				putative aminotransferase in cobalamin synthesis [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00762	CDS	609				alpha ribazole-5'-P phosphatase in cobalamin synthesis [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00763	CDS	318				putative ACR, of plant Iojap protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00764	CDS	468				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00765	CDS	1902				cell elongation specific transpeptidase of penicillin-binding protein 2 (peptidoglycan synthetase) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00766	CDS	1113				rod shape-determining membrane protein; cell elongation in e phase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00767	CDS	1146				a minor lipoprotein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00768	CDS	1212				D-alanyl-D-alanine carboxypeptidase, penicillin-binding protein 5 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00769	CDS	264				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00770	CDS	642				putative ligase in lipoate biosynthesis [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00771	CDS	954				putative LysR family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00772	CDS	966				lipoate synthase, an iron-sulfur enzyme [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00773	CDS	204				putative Sec-independent protein secretion pathway component [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00774	CDS	789				putative hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00775	CDS	384				high-copy crc-csp restores normal chromosome condensation in presence of camphor or mukB mutations [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00776	CDS	210				RNA chaperone, negative regulator of cspA transcription [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00777	CDS	573				PhoPQ-activated gene [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00778	CDS	1386				DcuC family, dicarboxylate transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00779	CDS	681				response regulator in two-component regulatory system with DpiB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00780	CDS	1662				sensory histidine kinase in two-component regulatory system with DpiA [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00781	CDS	1077				citrate lyase synthetase (citrate (pro-3S)-lyase ligase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00782	CDS	297				citrate lyase acyl carrier protein (gamma chain) [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00783	CDS	909				citrate lyase beta chain (acyl lyase subunit) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00784	CDS	1530				citrate lyase alpha chain [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00785	CDS	552				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00786	CDS	897				putative modifier of citrate lyase protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00787	CDS	1464				DASS family, citrate:succinate transport (antiport) protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00788	CDS	807				RNase I [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00789	CDS	411				regulator of nucleoside diphosphate kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00790	CDS	1239				putative dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00791	CDS	429				putative universal stress protein UspA-binding protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00792	CDS	768				putative hydrogenase protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00793	CDS	360				putative hydrogenase protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00794	CDS	2280				putative oxidoreductase protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00795	CDS	561				putative component of anaerobic dehydrogenases [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00796	CDS	1566				alkyl hydroperoxide reductase, F52a subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00797	CDS	564				alkyl hydroperoxide reductase, C22 subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00798	CDS	747				periplasmic disulfide isomerase, thiol-disulfide oxidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00799	CDS	903				putative LysR family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00800	CDS	1236				putative 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00801	CDS	618				putative transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00802	CDS	1161				putative aminotransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00803	CDS	1089				putative glycerol dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00804	CDS	198				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00805	CDS	2106				carbon starvation protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00806	CDS	414				putative protein PaaI, possibly involved in aromatic compounds catabolism [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00807	CDS	756				2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00808	CDS	858				2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochorismatase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00809	CDS	1611				2,3-dihydroxybenzoate-AMP ligase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00810	CDS	1176				isochorismate synthetase, enterochelin biosynthesis [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00811	CDS	957				ferric enterobactin (enterochelin) transporter [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00812	CDS	1245				putative POT family transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00813	CDS	1008				ferric enterobactin (enterochelin) transporter [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00814	CDS	990				ferric enterobactin transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00815	CDS	795				enterobactin transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00816	CDS	1137				ferric enterobactin (enterochelin) transporter [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00817	CDS	3885				enterobactin synthetase, component F (nonribosomal peptide synthetase) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00818	CDS	219				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00819	CDS	1215				enterochelin esterase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00820	CDS	2256				outer membrane porin, receptor for ferric enterobactin (enterochelin) and colicins B and D [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00821	CDS	705				enterochelin synthetase, component D (phoshpantetheinyltransferase) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00822	CDS	1119				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00823	CDS	249				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00824	CDS	342				putative regulatory protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00825	CDS	582				putative regulatory protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00826	CDS	369				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00827	CDS	654				dihydropteridine reductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00828	CDS	450				putative transport protein, PTS system [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00829	CDS	471				putative transport protein, PTS system [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00830	CDS	744				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00831	CDS	855				putative transport protein, PTS system [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00832	CDS	1062				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00833	CDS	987				putative phosphosugar isomerases [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00834	CDS	2730				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00835	CDS	1971				outer membrane N-acetyl phenylalanine beta-naphthyl ester-cleaving esterase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00836	CDS	1248				putative transport [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00837	CDS	1395				APC family, phenylalanene transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00838	CDS	1176				putative ATPase involved in DNA repair [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00839	CDS	561				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00840	CDS	237				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00841	CDS	1326				putative oxidoreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00842	CDS	855				putative transcriptional regulator (AraC/XylS family) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00843	CDS	165				putative transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00844	CDS	330				sensor protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00845	CDS	363				putative glycosyl translocase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00846	CDS	927				putative glycosyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00847	CDS	1641				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00848	CDS	159				hypothetical protein
KENBAJHJ_00849	CDS	219				putative transposase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00850	tRNA	77				tRNA-Arg(tct)
KENBAJHJ_00851	CDS	597				putative fimbrial protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00852	CDS	309				putative diguanylate cyclase/phosphodiesterase domain 0 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00853	CDS	723				putative regulatory protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00854	CDS	633				fimbrial protein Z [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00855	CDS	519				putative fimbrial protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00856	CDS	1008				minor fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00857	CDS	2613				outer membrane usher protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00858	CDS	714				periplasmic chaperone, required for type 1 fimbriae [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00859	CDS	534				fimbrial protein internal segment [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00860	CDS	558				major type 1 subunit fimbrin (pilin) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00861	CDS	867				5,10-methylene-tetrahydrofolate cyclohydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00862	CDS	213				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00863	CDS	546				putative membrane-bound metal-dependent hydrolases [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00864	CDS	438				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00865	CDS	825				putative outer membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00866	CDS	1386				cysteine tRNA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00867	CDS	495				peptidyl-prolyl cis-trans isomerase B (rotamase B) [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00868	CDS	723				UDP-2,3-diacylglucosamine hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00869	CDS	510				phosphoribosylaminoimidazole carboxylase = AIR carboxylase, catalytic subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00870	CDS	1068				phosphoribosylaminoimidazole carboxylase = AIR carboxylase, CO(2)-fixing subunit [Salmonella enterica subsp.enterica serovar Typhimurium str. LT2]
KENBAJHJ_00871	CDS	894				putative carbamate kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00872	CDS	810				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00873	CDS	1260				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00874	CDS	1665				putative acyl-CoA synthetase, involved in protein transport [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00875	CDS	1050				ureidoglycolate dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00876	CDS	1236				allantoate amidohydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00877	CDS	786				putative glyoxylate utilization [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00878	CDS	1149				glycerate kinase II [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00879	CDS	1299				putative transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00880	CDS	1362				allantoinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00881	CDS	1455				putative NCS1 family, allantoin transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00882	CDS	1248				putative permease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00883	CDS	879				tartronic semialdehyde reductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00884	CDS	777				glyoxylate -induced protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00885	CDS	1782				glyoxylate carboligase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00886	CDS	819				putative regulatory protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00887	CDS	483				ureidoglycolate hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00888	CDS	927				putative LysR family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00889	CDS	1095				putative ATPase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00890	CDS	660				putative binding-protein-dependent transport systems inner membrane component [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00891	CDS	1017				putative ABC-type transport system ATPase component/cell division protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00892	CDS	831				putative ABC-type transport system ATPase component/cell division protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00893	CDS	1134				putative outer membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00894	CDS	105				hypothetical protein
KENBAJHJ_00895	CDS	2415				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00896	CDS	687				putative ABC superfamily (atp_bind) transporter [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00897	CDS	585				multifunctional acyl-CoA thioesterase I; also functions as protease I, lysophospholipaseL(I) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00898	CDS	771				putative oxidoreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00899	CDS	855				putative thioredoxin protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00900	CDS	780				putative YbbM family transport protein, metal resistance protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00901	CDS	678				putative ABC-type sugar/spermidine/putrescine transport system, ATPase component [Salmonella enterica subsp.enterica serovar Typhimurium str. LT2]
KENBAJHJ_00902	CDS	918				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00903	CDS	453				putative membrane protein implicated in regulation of membrane protease activity [Salmonella enterica subsp.enterica serovar Typhimurium str. LT2]
KENBAJHJ_00904	CDS	417				putative heavy metal transcriptional repressor (MerR family) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00905	CDS	2502				putative copper-transporting ATPase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00906	CDS	828				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00907	CDS	795				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00908	CDS	480				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00909	CDS	1653				UDP-sugar hydrolase 5'-nucleotidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00910	CDS	1221				putative MFS family of transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00911	CDS	1677				putative CPA2 family transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00912	CDS	1350				inosine-guanosine kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00913	CDS	972				acetyl esterase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00914	CDS	963				ferrochelatase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00915	CDS	645				adenylate kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00916	CDS	1875				chaperone Hsp90, heat shock protein C 62.5 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00917	CDS	606				putative recombination protein, gap repair [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00918	CDS	330				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00919	CDS	1929				DNA polymerase III, tau and gamma subunits [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00920	CDS	552				adenine phosphoribosyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00921	CDS	378				putative phage gene 58 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00922	CDS	516				primosomal replication protein N [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00923	CDS	168				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00924	CDS	936				putative transposase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00925	CDS	3363				putative small-conductance mechanosensitive channel [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00926	CDS	654				acrAB operon repressor (TetR/AcrR family) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00927	CDS	1194				acridine efflux pump [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00928	CDS	861				RND family, acridine efflux pump [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00929	CDS	2214				RND family, acridine efflux pump [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00930	CDS	375				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00931	CDS	219				hemolysin expression modulating protein (involved in environmental regulation of virulence factors) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00932	CDS	552				maltose o-acetyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00933	CDS	471				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00934	CDS	261				putative 50S ribosomal protein L31 (second copy) [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00935	CDS	1551				putative diguanylate cyclase/phosphodiesterase domain 2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00936	CDS	312				putative methyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00937	CDS	570				glycoprotein/polysaccharide metabolism [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00938	CDS	861				acyl-CoA thioesterase II [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00939	CDS	1287				putative Amt family, ammonium transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00940	CDS	339				regulatory protein P-II 2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00941	CDS	1782				putative ABC superfamily (atp&membrane) transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00942	CDS	1773				putative ABC superfamily (atp) transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00943	CDS	459				putative transcriptional regulator (AsnC family) [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00944	CDS	1056				putative cysteine synthase/cystathionine beta-synthase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00945	CDS	819				putative hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00946	CDS	1701				putative ABC transporter periplasmic binding protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00947	CDS	696				putative (aluminum) resistance protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00948	CDS	399				putative esterase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00949	CDS	375				putative DNA uptake protein-binding proteins [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00950	CDS	1872				peptidyl prolyl isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00951	CDS	273				DNA-binding protein HU-beta, NS1 (HU-1) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00952	CDS	2355				DNA-binding protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00953	CDS	1272				specificity component of clpA-clpP ATP-dependent serine protease, chaperone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00954	CDS	624				proteolytic subunit of clpA-clpP ATP-dependent serine protease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00955	CDS	1299				peptidyl-prolyl cis/trans isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00956	CDS	315				morphogene; putative regulator of murein genes (BolA family) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00957	CDS	633				putative lipoprotein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00958	CDS	1482				MFS family, muropeptide transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00959	CDS	957				cytochrome o ubiquinol oxidase subunit II [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00960	CDS	1992				cytochrome o ubiquinol oxidase subunit I [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00961	CDS	615				cytochrome o ubiquinol oxidase subunit III [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00962	CDS	330				cytochrome o ubiquinol oxidase subunit IV [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00963	CDS	891				protohaeme IX farnesyltransferase (haeme O biosynthesis) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00964	CDS	1494				putative TPR repeat protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00965	CDS	1512				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00966	CDS	1365				putative MFS family transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
